# hand-edited results from:
#   $ cd mg-glaciers/fas/py/study/
#   # ./optimal.sh &> results-converge.txt
# columns: method m WU l2err time
# method=0:  3 F-cycles with V(1,0)
# method=1:  12 V(1,1)-cycles
# method=2:  NGS with enough cycles to get 2*(discretization error)

0 16      7.88 2.1280e-02  0.30
0 32      8.38 5.2325e-03  0.28
0 64      8.66 1.3008e-03  0.30
0 128     8.81 3.2402e-04  0.29
0 256     8.90 8.0759e-05  0.32
0 512     8.95 2.0175e-05  0.31
0 1024    8.97 5.0455e-06  0.38
0 2048    8.98 1.2624e-06  0.50
0 4096    8.99 3.1585e-07  0.71
0 8192    9.00 7.9000e-08  1.13
0 16384   9.00 1.9755e-08  2.02
0 32768   9.00 4.9392e-09  3.70
0 65536   9.00 1.2349e-09  6.94
0 131072  9.00 3.0837e-10 14.79
0 262144  9.00 7.5133e-11 27.04
0 524288  9.00 2.1314e-11 59.41
1 16     43.50 2.1331e-02  0.29
1 32     45.75 5.2591e-03  0.29
1 64     46.88 1.3102e-03  0.30
1 128    47.44 3.2728e-04  0.32
1 256    47.72 8.1802e-05  0.38
1 512    47.86 2.0449e-05  0.51
1 1024   47.93 5.1122e-06  0.73
1 2048   47.96 1.2780e-06  1.18
1 4096   47.98 3.1949e-07  2.12
1 8192   47.99 7.9854e-08  3.99
1 16384  48.00 1.9945e-08  7.88
1 32768  48.00 4.9676e-09 15.49
1 65536  48.00 1.2236e-09 30.75
1 131072 48.00 2.8811e-10 62.21
2 16     20.00 3.2278e-02  0.26
2 32    100.00 7.6412e-03  0.30
2 64    800.00 1.5777e-03  0.67
2 128  6400.00 3.5215e-04  6.24
2 256 51200.00 8.1482e-05 95.40

