Profile [m],Longitude [degrees_east],Latitude [degrees_north],Bed [m],Surface [m],Ice Thickness [m]
0.0,-55.0,70.0,-136.0,0.0,0.0
38.186543,-54.999,70.0,-136.0,0.0,0.0
76.373085,-54.998,70.0,-136.0,0.0,0.0
114.55962,-54.997,70.0,-136.0,0.0,0.0
152.74617,-54.996,70.0,-136.0,0.0,0.0
190.93271,-54.995,70.0,-136.0,0.0,0.0
229.11925,-54.994,70.0,-136.0,0.0,0.0
267.3058,-54.993,70.0,-136.0,0.0,0.0
305.49234,-54.992,70.0,-136.0,0.0,0.0
343.67886,-54.991,70.0,-135.0,0.0,0.0
381.86542,-54.99,70.0,-135.0,0.0,0.0
420.05194,-54.989,70.0,-135.0,0.0,0.0
458.2385,-54.988,70.0,-135.0,0.0,0.0
496.42505,-54.987,70.0,-135.0,0.0,0.0
534.6116,-54.986,70.0,-135.0,0.0,0.0
572.7981,-54.985,70.0,-135.0,0.0,0.0
610.9847,-54.984,70.0,-135.0,0.0,0.0
649.1712,-54.983,70.0,-135.0,0.0,0.0
687.3577,-54.982,70.0,-135.0,0.0,0.0
725.5443,-54.981,70.0,-135.0,0.0,0.0
763.73083,-54.98,70.0,-135.0,0.0,0.0
801.91736,-54.979,70.0,-134.0,0.0,0.0
840.1039,-54.978,70.0,-134.0,0.0,0.0
878.29047,-54.977,70.0,-134.0,0.0,0.0
916.477,-54.976,70.0,-134.0,0.0,0.0
954.6635,-54.975,70.0,-134.0,0.0,0.0
992.8501,-54.974,70.0,-134.0,0.0,0.0
1031.0366,-54.973,70.0,-134.0,0.0,0.0
1069.2231,-54.972,70.0,-134.0,0.0,0.0
1107.4097,-54.971,70.0,-133.0,0.0,0.0
1145.5962,-54.97,70.0,-133.0,0.0,0.0
1183.7828,-54.969,70.0,-133.0,0.0,0.0
1221.9694,-54.968,70.0,-133.0,0.0,0.0
1260.1559,-54.967,70.0,-132.0,0.0,0.0
1298.3424,-54.966,70.0,-132.0,0.0,0.0
1336.5289,-54.965,70.0,-132.0,0.0,0.0
1374.7155,-54.964,70.0,-132.0,0.0,0.0
1412.902,-54.963,70.0,-132.0,0.0,0.0
1451.0886,-54.962,70.0,-132.0,0.0,0.0
1489.2751,-54.961,70.0,-132.0,0.0,0.0
1527.4617,-54.96,70.0,-132.0,0.0,0.0
1565.6482,-54.959,70.0,-131.0,0.0,0.0
1603.8347,-54.958,70.0,-131.0,0.0,0.0
1642.0212,-54.957,70.0,-131.0,0.0,0.0
1680.2078,-54.956,70.0,-130.0,0.0,0.0
1718.3944,-54.955,70.0,-130.0,0.0,0.0
1756.5809,-54.954,70.0,-130.0,0.0,0.0
1794.7675,-54.953,70.0,-130.0,0.0,0.0
1832.954,-54.952,70.0,-130.0,0.0,0.0
1871.1405,-54.951,70.0,-130.0,0.0,0.0
1909.327,-54.95,70.0,-130.0,0.0,0.0
1947.5135,-54.949,70.0,-130.0,0.0,0.0
1985.7002,-54.948,70.0,-129.0,0.0,0.0
2023.8867,-54.947,70.0,-129.0,0.0,0.0
2062.0732,-54.946,70.0,-129.0,0.0,0.0
2100.2598,-54.945,70.0,-129.0,0.0,0.0
2138.4463,-54.944,70.0,-129.0,0.0,0.0
2176.6328,-54.943,70.0,-129.0,0.0,0.0
2214.8193,-54.942,70.0,-129.0,0.0,0.0
2253.0059,-54.941,70.0,-129.0,0.0,0.0
2291.1924,-54.94,70.0,-128.0,0.0,0.0
2329.379,-54.939,70.0,-128.0,0.0,0.0
2367.5657,-54.938,70.0,-128.0,0.0,0.0
2405.7522,-54.937,70.0,-128.0,0.0,0.0
2443.9387,-54.936,70.0,-128.0,0.0,0.0
2482.1252,-54.935,70.0,-128.0,0.0,0.0
2520.3118,-54.934,70.0,-128.0,0.0,0.0
2558.4983,-54.933,70.0,-128.0,0.0,0.0
2596.6848,-54.932,70.0,-128.0,0.0,0.0
2634.8713,-54.931,70.0,-128.0,0.0,0.0
2673.0579,-54.93,70.0,-128.0,0.0,0.0
2711.2444,-54.929,70.0,-128.0,0.0,0.0
2749.431,-54.928,70.0,-128.0,0.0,0.0
2787.6174,-54.927,70.0,-128.0,0.0,0.0
2825.804,-54.926,70.0,-127.0,0.0,0.0
2863.9905,-54.925,70.0,-127.0,0.0,0.0
2902.1772,-54.924,70.0,-127.0,0.0,0.0
2940.3638,-54.923,70.0,-127.0,0.0,0.0
2978.5503,-54.922,70.0,-127.0,0.0,0.0
3016.7368,-54.921,70.0,-127.0,0.0,0.0
3054.9233,-54.92,70.0,-126.0,0.0,0.0
3093.1099,-54.919,70.0,-127.0,0.0,0.0
3131.2964,-54.918,70.0,-127.0,0.0,0.0
3169.483,-54.917,70.0,-127.0,0.0,0.0
