Profile [m],Longitude [degrees_east],Latitude [degrees_north],Bed [m],Surface [m],Ice Thickness [m]
0.0,-49.81103,69.172714,-702.0,0.0,0.0
98.55355,-49.80863,69.17249,-701.0,0.0,0.0
197.1071,-49.806236,69.17227,-699.0,0.0,0.0
295.66064,-49.80384,69.17205,-698.0,0.0,0.0
394.2142,-49.80144,69.17184,-696.0,0.0,0.0
492.76776,-49.799046,69.171616,-694.0,0.0,0.0
591.3213,-49.79665,69.171394,-692.0,0.0,0.0
689.8749,-49.79425,69.17117,-690.0,0.0,0.0
788.4284,-49.791855,69.17095,-688.0,0.0,0.0
886.982,-49.78946,69.17073,-685.0,0.0,0.0
985.5355,-49.787064,69.17051,-683.0,0.0,0.0
1084.0891,-49.784664,69.17029,-680.0,0.0,0.0
1182.6426,-49.78227,69.17006,-677.0,0.0,0.0
1281.1962,-49.779873,69.16984,-674.0,0.0,0.0
1379.7498,-49.777477,69.16962,-670.0,0.0,0.0
1478.3032,-49.77508,69.169395,-666.0,0.0,0.0
1576.8568,-49.772682,69.169174,-663.0,0.0,0.0
1675.4104,-49.770287,69.16895,-659.0,0.0,0.0
1773.964,-49.76789,69.16873,-657.0,0.0,0.0
1872.5175,-49.765495,69.16851,-655.0,0.0,0.0
1971.071,-49.7631,69.16829,-654.0,0.0,0.0
2069.6245,-49.760704,69.16807,-653.0,0.0,0.0
2168.1782,-49.75831,69.16785,-654.0,0.0,0.0
2266.7317,-49.75591,69.167625,-655.0,0.0,0.0
2365.2852,-49.753513,69.167404,-656.0,0.0,0.0
2463.8389,-49.751118,69.16718,-658.0,0.0,0.0
2562.3923,-49.748722,69.16696,-661.0,0.0,0.0
2660.9458,-49.746326,69.16674,-663.0,0.0,0.0
2759.4995,-49.74393,69.16652,-664.0,0.0,0.0
2858.053,-49.741535,69.16629,-665.0,0.0,0.0
2956.6064,-49.73914,69.16607,-665.0,0.0,0.0
3055.1602,-49.736744,69.16585,-665.0,0.0,0.0
3153.7136,-49.73435,69.16563,-664.0,0.0,0.0
3252.2673,-49.731953,69.165405,-663.0,0.0,0.0
3350.8208,-49.729557,69.165184,-662.0,0.0,0.0
3449.3743,-49.72716,69.16496,-661.0,0.0,0.0
3547.928,-49.72477,69.16474,-661.0,0.0,0.0
3646.4814,-49.722374,69.16452,-661.0,0.0,0.0
3745.035,-49.71998,69.16429,-661.0,0.0,0.0
3843.5886,-49.717583,69.16407,-662.0,0.0,0.0
3942.142,-49.715187,69.16385,-662.0,0.0,0.0
4040.6956,-49.71279,69.16363,-664.0,0.0,0.0
4139.249,-49.710396,69.16341,-667.0,0.0,0.0
4237.8027,-49.708004,69.163185,-669.0,0.0,0.0
4336.3564,-49.70561,69.16296,-672.0,0.0,0.0
4434.9097,-49.703213,69.162735,-675.0,0.0,0.0
4533.9927,-49.70102,69.16232,-678.0,0.0,0.0
4633.075,-49.698822,69.1619,-681.0,0.0,0.0
4732.1577,-49.69663,69.16148,-685.0,0.0,0.0
4831.24,-49.69443,69.16107,-689.0,0.0,0.0
4930.323,-49.692238,69.16065,-693.0,0.0,0.0
5029.406,-49.69004,69.16023,-697.0,0.0,0.0
5128.4883,-49.687847,69.15982,-701.0,0.0,0.0
5227.5713,-49.685654,69.1594,-705.0,0.0,0.0
5326.654,-49.683456,69.15898,-710.0,0.0,0.0
5425.7363,-49.681263,69.15856,-715.0,0.0,0.0
5524.819,-49.67907,69.15815,-720.0,0.0,0.0
5623.902,-49.676876,69.15773,-727.0,0.0,0.0
5722.9844,-49.67468,69.15731,-733.0,0.0,0.0
5822.067,-49.672485,69.1569,-741.0,0.0,0.0
5921.15,-49.67029,69.15648,-749.0,0.0,0.0
6020.2324,-49.6681,69.15606,-757.0,0.0,0.0
6119.315,-49.665905,69.15565,-765.0,0.0,0.0
6218.3975,-49.66371,69.15523,-773.0,0.0,0.0
6317.4805,-49.66152,69.15481,-781.0,0.0,0.0
6416.563,-49.65932,69.15439,-788.0,0.0,0.0
6515.6455,-49.657127,69.15398,-799.0,37.0,421.0
6614.728,-49.654934,69.15356,-809.0,78.0,865.0
6713.811,-49.65274,69.15314,-813.0,84.0,898.0
6812.8936,-49.650547,69.15272,-817.0,87.0,905.0
6911.976,-49.648357,69.152306,-822.0,88.0,911.0
7011.059,-49.646164,69.151886,-824.0,90.0,915.0
7110.1416,-49.64397,69.15147,-814.0,102.0,917.0
7209.224,-49.641777,69.15105,-812.0,107.0,920.0
7308.3066,-49.639584,69.150635,-813.0,109.0,923.0
7407.3896,-49.63739,69.150215,-803.0,122.0,925.0
7506.472,-49.635197,69.149796,-790.0,139.0,929.0
7605.5547,-49.633007,69.149376,-785.0,149.0,934.0
7704.6377,-49.630814,69.14896,-781.0,154.0,936.0
7803.72,-49.62862,69.148544,-783.0,156.0,939.0
7902.8027,-49.626427,69.148125,-784.0,158.0,943.0
8001.8853,-49.624237,69.147705,-784.0,160.0,945.0
8100.9683,-49.622044,69.147285,-787.0,161.0,949.0
8200.051,-49.61985,69.146866,-790.0,162.0,952.0
8299.134,-49.61766,69.146454,-790.0,163.0,953.0
8398.216,-49.615467,69.146034,-788.0,166.0,955.0
8497.299,-49.613277,69.145615,-787.0,167.0,954.0
8596.382,-49.611084,69.145195,-784.0,170.0,955.0
8695.464,-49.608894,69.144775,-777.0,174.0,952.0
8794.547,-49.6067,69.14436,-769.0,178.0,948.0
8893.629,-49.60451,69.14394,-763.0,183.0,946.0
8992.712,-49.602318,69.143524,-759.0,187.0,947.0
9091.795,-49.60013,69.143105,-757.0,192.0,950.0
9190.877,-49.597935,69.142685,-753.0,198.0,952.0
9289.96,-49.595745,69.142265,-750.0,203.0,954.0
9389.043,-49.593555,69.14185,-747.0,207.0,955.0
9488.125,-49.591362,69.14143,-744.0,212.0,957.0
9587.208,-49.589172,69.141014,-742.0,216.0,958.0
9686.704,-49.587475,69.14036,-735.0,220.0,956.0
9786.201,-49.58578,69.13971,-735.0,224.0,960.0
9885.698,-49.584084,69.13905,-736.0,228.0,965.0
9985.194,-49.582386,69.138405,-740.0,231.0,972.0
10084.691,-49.580692,69.13775,-747.0,233.0,981.0
10184.1875,-49.578995,69.1371,-757.0,235.0,993.0
10283.685,-49.577297,69.136444,-769.0,236.0,1006.0
10383.182,-49.575603,69.135796,-775.0,237.0,1013.0
10482.678,-49.573906,69.13514,-782.0,236.0,1019.0
10582.175,-49.572212,69.13449,-789.0,236.0,1026.0
10681.671,-49.570515,69.133835,-797.0,236.0,1033.0
10781.168,-49.56882,69.13318,-807.0,235.0,1043.0
10880.665,-49.567123,69.13253,-816.0,235.0,1052.0
10980.161,-49.56543,69.131874,-828.0,234.0,1063.0
11079.658,-49.563736,69.131226,-841.0,232.0,1073.0
11179.154,-49.56204,69.13057,-850.0,232.0,1082.0
11278.651,-49.560345,69.12992,-854.0,232.0,1086.0
11378.147,-49.55865,69.129265,-856.0,232.0,1088.0
11477.645,-49.556957,69.12862,-856.0,232.0,1089.0
11577.142,-49.55526,69.12796,-856.0,234.0,1091.0
11676.638,-49.553566,69.12731,-852.0,235.0,1088.0
11776.135,-49.551872,69.126656,-842.0,237.0,1080.0
11875.631,-49.55018,69.126,-831.0,239.0,1071.0
11975.128,-49.548485,69.12535,-820.0,242.0,1062.0
