# see py/1D/study/convperf.sh which generated this (and convergence.txt)
# columns:  solver case J m cycles WU time
# where:
#    solver: 0 = V(1,0), 1 = V(2,0), 2 = NI+V(1,0), 3 = NIx2+V(1,0)
#    case: 0 = icelike, 1 = icelike+random
#    m = 2^{J+1} - 1  (and h = 1/(m+1))

0 0  6   127  26   51.594   0.50
0 0  7   255  25   49.805   0.62
0 0  8   511  32   63.875   0.71
0 0  9  1023  32   63.938   0.98
0 0 10  2047  39   77.962   1.78
0 0 11  4095  38   75.981   3.08
0 0 12  8191  44   87.989   6.25
0 0 13 16383  45   89.995  12.17
0 0 14 32767  52  103.997  28.54
0 0 15 65535  51  101.998  56.03
0 1  6   127  13   25.797   0.47
0 1  7   255  15   29.883   0.54
0 1  8   511  19   37.926   0.65
0 1  9  1023  20   39.961   0.80
0 1 10  2047  20   39.980   1.12
0 1 11  4095  23   45.989   1.98
0 1 12  8191  25   49.994   3.80
0 1 13 16383  26   51.997   7.52
0 1 14 32767  29   57.998  15.89
0 1 15 65535  30   59.999  33.30
1 0  6   127  17   67.203   0.50
1 0  7   255  17   67.602   0.55
1 0  8   511  21   83.754   0.70
1 0  9  1023  21   83.877   0.93
1 0 10  2047  26  103.924   1.64
1 0 11  4095  25   99.963   2.78
1 0 12  8191  29  115.979   5.84
1 0 13 16383  29  115.989  11.45
1 0 14 32767  34  135.994  26.06
1 0 15 65535  33  131.997  48.63
1 1  6   127   9   35.578   0.46
1 1  7   255  11   43.742   0.49
1 1  8   511  14   55.836   0.58
1 1  9  1023  14   55.918   0.75
1 1 10  2047  15   59.956   1.13
1 1 11  4095  16   63.977   1.99
1 1 12  8191  18   71.987   3.75
1 1 13 16383  19   75.993   7.57
1 1 14 32767  20   79.996  15.02
1 1 15 65535  21   83.998  32.23
2 0  6   127  12   25.688   0.47
2 0  7   255  16   33.805   0.52
2 0  8   511  18   37.891   0.60
2 0  9  1023  14   29.951   0.67
2 0 10  2047  20   41.969   1.14
2 0 11  4095  22   45.983   2.07
2 0 12  8191  26   53.990   4.20
2 0 13 16383  25   51.995   7.38
2 0 14 32767  25   51.997  14.58
2 0 15 65535  33   67.998  36.62
2 1  6   127   9   19.734   0.46
2 1  7   255  14   29.820   0.49
2 1  8   511  17   35.895   0.57
2 1  9  1023  23   47.934   0.86
2 1 10  2047  23   47.966   1.25
2 1 11  4095  24   49.982   2.12
2 1 12  8191  24   49.991   3.83
2 1 13 16383  34   69.994   9.91
2 1 14 32767  17   35.998  10.05
2 1 15 65535  28   57.999  31.74
3 0  6   127   8   19.609   0.47
3 0  7   255  16   35.727   0.52
3 0  8   511  15   33.859   0.58
3 0  9  1023  16   35.924   0.75
3 0 10  2047  11   25.965   0.89
3 0 11  4095  19   41.978   2.02
3 0 12  8191  19   41.988   3.38
3 0 13 16383  13   29.995   4.57
3 0 14 32767  14   31.997   9.30
3 0 15 65535  23   49.998  28.66
3 1  6   127  12   27.547   0.52
3 1  7   255  15   33.734   0.51
3 1  8   511  17   37.852   0.63
3 1  9  1023  24   51.908   0.93
3 1 10  2047  23   49.953   1.40
3 1 11  4095  24   51.975   2.25
3 1 12  8191  25   53.987   4.05
3 1 13 16383  40   83.991  12.30
3 1 14 32767  19   41.997  11.75
3 1 15 65535  28   59.998  34.20
